file_name,text
Hand_0000002.jpg,Here we see a male aged 27 showing their dorsal right hand. The skin tone is fair and the accessories are 0. There is no nail polish.
Hand_0000003.jpg,"Featuring a dorsal right hand by a 27 year old male, with fair skin tone, accessorized with 0 and without nail polish. Irregularities include 0."
Hand_0000004.jpg,"This image, named Hand_0000004.jpg, shows a dorsal right hand of a male aged 27, having fair skin and wearing 0."
Hand_0000005.jpg,"A 27 year old male with fair skin, 0 accessories, and no nail polish showing dorsal right hand."
Hand_0000006.jpg,"Featuring a dorsal right hand by a 27 year old male, with fair skin tone, accessorized with 0 and without nail polish. Irregularities include 0."
Hand_0000007.jpg,"Featuring a dorsal right hand by a 27 year old male, with fair skin tone, accessorized with 0 and without nail polish. Irregularities include 0."
Hand_0000008.jpg,"A 27 year old male with fair skin, 0 accessories, and no nail polish showing dorsal right hand."
Hand_0000009.jpg,"This image, named Hand_0000009.jpg, shows a dorsal right hand of a male aged 27, having fair skin and wearing 0."
Hand_0000010.jpg,"A 27 year old male with fair skin, 0 accessories, and no nail polish showing dorsal right hand."
Hand_0000011.jpg,"This image, named Hand_0000011.jpg, shows a dorsal right hand of a male aged 27, having fair skin and wearing 0."
Hand_0000012.jpg,Here we see a male aged 27 showing their dorsal right hand. The skin tone is fair and the accessories are 0. There is no nail polish.
Hand_0000013.jpg,"This image, named Hand_0000013.jpg, shows a dorsal right hand of a male aged 27, having fair skin and wearing 0."
Hand_0000014.jpg,"This image, named Hand_0000014.jpg, shows a dorsal right hand of a male aged 27, having fair skin and wearing 0."
Hand_0000015.jpg,"Featuring a dorsal right hand by a 27 year old male, with fair skin tone, accessorized with 0 and without nail polish. Irregularities include 0."
Hand_0000016.jpg,Here we see a male aged 27 showing their dorsal right hand. The skin tone is fair and the accessories are 0. There is no nail polish.
Hand_0000020.jpg,"This image, named Hand_0000020.jpg, shows a dorsal right hand of a male aged 27, having fair skin and wearing 0."
Hand_0000021.jpg,"Featuring a dorsal left hand by a 27 year old male, with fair skin tone, accessorized with 1 and without nail polish. Irregularities include 0."
Hand_0000022.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing dorsal left hand."
Hand_0000023.jpg,"Featuring a dorsal left hand by a 27 year old male, with fair skin tone, accessorized with 1 and without nail polish. Irregularities include 0."
Hand_0000024.jpg,Here we see a male aged 27 showing their dorsal left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000025.jpg,"This image, named Hand_0000025.jpg, shows a dorsal left hand of a male aged 27, having fair skin and wearing 1."
Hand_0000026.jpg,"This image, named Hand_0000026.jpg, shows a dorsal left hand of a male aged 27, having fair skin and wearing 1."
Hand_0000027.jpg,Here we see a male aged 27 showing their dorsal left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000028.jpg,Here we see a male aged 27 showing their dorsal left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000029.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing dorsal left hand."
Hand_0000030.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing dorsal left hand."
Hand_0000031.jpg,"Featuring a dorsal left hand by a 27 year old male, with fair skin tone, accessorized with 1 and without nail polish. Irregularities include 0."
Hand_0000032.jpg,"Featuring a dorsal left hand by a 27 year old male, with fair skin tone, accessorized with 1 and without nail polish. Irregularities include 0."
Hand_0000033.jpg,"Featuring a dorsal left hand by a 27 year old male, with fair skin tone, accessorized with 1 and without nail polish. Irregularities include 0."
Hand_0000034.jpg,Here we see a male aged 27 showing their dorsal left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000038.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000039.jpg,Here we see a male aged 27 showing their palmar left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000040.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000041.jpg,Here we see a male aged 27 showing their palmar left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000042.jpg,Here we see a male aged 27 showing their palmar left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000043.jpg,"This image, named Hand_0000043.jpg, shows a palmar left hand of a male aged 27, having fair skin and wearing 1."
Hand_0000044.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000045.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000046.jpg,Here we see a male aged 27 showing their palmar left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000047.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000048.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000049.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000050.jpg,"This image, named Hand_0000050.jpg, shows a palmar left hand of a male aged 27, having fair skin and wearing 1."
Hand_0000051.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000052.jpg,"This image, named Hand_0000052.jpg, shows a palmar left hand of a male aged 27, having fair skin and wearing 1."
Hand_0000053.jpg,Here we see a male aged 27 showing their palmar left hand. The skin tone is fair and the accessories are 1. There is no nail polish.
Hand_0000054.jpg,"A 27 year old male with fair skin, 1 accessories, and no nail polish showing palmar left hand."
Hand_0000055.jpg,Here we see a male aged 27 showing their palmar left hand. The skin tone is fair and the accessories are 0. There is no nail polish.
Hand_0000056.jpg,"A 27 year old male with fair skin, 0 accessories, and no nail polish showing palmar left hand."
Hand_0000057.jpg,"This image, named Hand_0000057.jpg, shows a palmar left hand of a male aged 27, having fair skin and wearing 0."
Hand_0000058.jpg,"This image, named Hand_0000058.jpg, shows a palmar left hand of a male aged 27, having fair skin and wearing 0."
